cell_name	Symbol
Olfactory ensheathing glia	Apcdd1
Smooth muscle cell	Epas1
Olfactory ensheathing glia	Lhfp
Smooth muscle cell	Plce1
Macrophage	Slc9a9
Macrophage	Dclre1c
Bergmann glial cell	Plpp3
Microglial cell	Myo1f
Macrophage	Ikzf1
Macrophage	Rreb1
Cajal-Retzius cell	Frmd4b
Olfactory ensheathing glia	Col27a1
Ependymal cell	Cfap46
Microglial cell	Zfp710
Cajal-Retzius cell	Reln
Olfactory ensheathing glia	Mybpc1
Endothelial cell	Fzd6
Oligodendrocyte precursor cell	Xylt1
Smooth muscle cell	Irag1
Endothelial cell	Rgs5
Microglial cell	Tbxas1
Oligodendrocyte precursor cell	Pid1
Ependymal cell	Armc3
Ependymal cell	Fhad1
Ependymal cell	Ttc29
Endothelial cell	Mecom
Microglial cell	0610040J01Rik
Oligodendrocyte precursor cell	Spon1
Smooth muscle cell	Col4a2
Olfactory ensheathing glia	Adamtsl1
Ependymal cell	Cfap299
Oligodendrocyte precursor cell	Abtb2
Cajal-Retzius cell	Robo2
Cajal-Retzius cell	Epha3
Oligodendrocyte precursor cell	Nova1
Oligodendrocyte precursor cell	Sema5a
Olfactory ensheathing glia	Rreb1
Ependymal cell	Vwa3a
Microglial cell	Fli1
Macrophage	Dock2
Smooth muscle cell	Rapgef5
Olfactory ensheathing glia	Adam12
Endothelial cell	Cyyr1
Cajal-Retzius cell	Kcnc2
Smooth muscle cell	Stard8
Macrophage	Rbm47
Macrophage	Bank1
Microglial cell	Rreb1
Cajal-Retzius cell	Trp73
Macrophage	Tnfrsf11a
Endothelial cell	Slc16a1
Microglial cell	Lyn
Endothelial cell	Ly75
Oligodendrocyte precursor cell	Zeb1
Olfactory ensheathing glia	Ptn
Olfactory ensheathing glia	Fat1
Smooth muscle cell	Vstm4
Oligodendrocyte precursor cell	Brinp3
Macrophage	Abca9
Neuron	Meg3
Oligodendrocyte precursor cell	Pcdh11x
Cajal-Retzius cell	Kcnh7
Olfactory ensheathing glia	Lama4
Bergmann glial cell	Ednrb
Endothelial cell	Slco2b1
Oligodendrocyte precursor cell	Arhgap31
Bergmann glial cell	Eps15
Oligodendrocyte precursor cell	Tox
Bergmann glial cell	Sfxn5
Oligodendrocyte	Mbp
Cajal-Retzius cell	Cdyl
Ependymal cell	Ccdc162
Cajal-Retzius cell	Angpt1
Cajal-Retzius cell	Ccdc148
Macrophage	Pnpla7
Microglial cell	Dock2
Ependymal cell	Odad1
Smooth muscle cell	Phldb2
Ependymal cell	Lrriq1
Bergmann glial cell	Sned1
Cajal-Retzius cell	Maml3
Bergmann glial cell	Grid2
Bergmann glial cell	Pla2g7
Cajal-Retzius cell	Thsd7b
Oligodendrocyte precursor cell	Adam12
Endothelial cell	Itga1
Macrophage	Ctsb
Microglial cell	Ctsb
Microglial cell	Lgmn
Smooth muscle cell	Pald1
Bergmann glial cell	Aldh1l1
Olfactory ensheathing glia	Gsap
Macrophage	Dock8
Smooth muscle cell	Ano1
Olfactory ensheathing glia	Bnc2
Ependymal cell	Cfap65
Microglial cell	Adap2
Endothelial cell	Rbpms
Bergmann glial cell	Rfx4
Macrophage	Maf
Cajal-Retzius cell	Fndc3b
Ependymal cell	Dnah11
Endothelial cell	St3gal6
Microglial cell	Skap2
Ependymal cell	Zbbx
Macrophage	Gas6
Microglial cell	Sirpa
Bergmann glial cell	Pdzrn3
Ependymal cell	Ttc21a
Cajal-Retzius cell	Tmem163
